영화명,평점리뷰
밥정,"관람객 그리움 이라는걸 제 멋대로 상상해보니 감당이 안됩니다. 저는 그리움을 찾아 떠나볼 수 있을까요? 만약 떠난다면 저는 그 표현조차 안 되는 감정들을 감당할 수 있을까요.. 삶이 무엇인지 되돌아보는 시간을 가졌습니다. ...관람객 눈물 많이 흘렸습니다. 대한민국에 이런 분이 계시다는것 정말 자랑스럽습니다. 삶이담긴 음식으로 정을나누는 셰프님이 존경스럽습니다.관람객 진심으로 우러나는 요리의 모습을 보았습니다요리하는 모습에 진심과 감동이 묻어나요자연에서 식재료를 찾는 점도 놀라웠어요아름다운 우리나라 다시 보게 되었습니다관람객 소중한 사람을 잃고 그리워해본 적이 있다면 꼭 추천하는 영화, 단단하게 만들어줍니다. 한 번 더 보려고 예매하고 오는 길이네요. 좋은 영화 감사합니다.관람객 올해 최고의 영화, 더 늦기 전에 나누고 싶습니다.태어나면서부터 죽을때까지 이어지는 누군가와의 만남의 순간들..쉐프님 자신이 직접 화면속에서 거친 야생 속을 누비며 만들어낸 장엄한 만남의 축복들..생명을 살리는 음식으로 앞으로도 많은 이들에게 에너지 주시길 바랍니다...관람객 잔잔하게 흘러가지만 눈물을 흘리게 하기도 하고 깊은 공감을 주기도 하는 영화였습니다관람객 다큐멘터리식 영화는 처음 관람해본건데 참 좋았습니다관람객 잔잔하고 긴 여운이 남는 영화였습니다내가 겪어보지 않은, 생각해보지도 못한 삶임에도 왜 이렇게 공감되고 감동적이었을까요. 가슴 뭉클한 영화였습니다. 어머니랑 같이 봤는데 셰프님이 기구한 삶을 사셨지만 마음에 사랑이 넘치시는 분 같다고 하셨어요. 그리움..."
그린 북,"폭설내리는밤 경찰이 두번째로 주인공이 몰고가는 차를 세웠을때 우린 경찰의 대사나 행동을 예측했을 것이다. 하지만 그 예측 자체가 영화보는내내 우리에게 생긴 편견임을 알고 뒤통수를 맞은 느낌이었다!우리가 말모이와 스윙키즈처럼 중요한 역사적 소재에 빚지고도 허구의 신파 한가득 버무려놓아 눈물 쥐어짠 걸 의미있는 영화라 자아도취해 있을 동안, 헐리우드는 실화 소재로 이런 '작품'을 배출하는 경지에 ...하.. 이런 영화가 상영관수, 상영시간을 많이 늘려야 되는데.. 진짜 예고편만 화려한 거품영화만 너무 독차지 하고있으니..아쉽보고나면 KFC 치킨이 존나 떙기는 영화임..빗속 셜리의 대사는 소름이 끼쳤다정말 많은 여운이 남은 영화네요. 꼭 봐야 할 영화입니다비고 모텐슨 형님 반지의 제왕에서 꽃미남 왕으로 열연하던게 엊그제 같은데 중년 마초역도 멋있잖아..2019년 아카데미 작품상은 그린 북, 남우조연상은 마허샬라 알리!경찰관에게 메리크리스마스 하는 장면..너무 조하 따뜻해..고상함 뒤에 숨겨진 추악함이란.토니의 변화는 놀랍고 셜리의 용기는 존경스럽다.금년 첫 영환데 시작이 좋네요"
가버나움,"멋진차, 고급아파트를 가질수 없어 가난이 나쁜게 아니다. 가난은 그것으로 하여금 인간 생 전체적으로 가능성과 존엄성을 앗아가기 때문에 나쁜것이다.뺑반 극한직업보다 2억배 가치있고 의미있는 영화. 작년에 신과함께2독점때매 플로리다프로젝트가 흥행못했다. 진짜 한국영화 스크린 독점현상 심각하다기독교 선교자들인가요? 난민보호소에서 노래로 위로하던장면...처음엔 어이없고 욕이 나왔는데 생각해보니 우리 모두를 꼬집은 감독의 의도같기도했어요 진지한 고민도 실질적인 도움도 없는 값싼 동정심으로 끝나는 우리 모두의...자인이 요나스에게 최선을 다하는 모습이, 누군가 자신에게 해줬으면 하고 바라는 최선인 것 같아서 마음이 아팠다. 자인이 요나스를 보내고 돌아오는 버스에서 흘리는 눈물이, 여동생을 잃고 흘리는 눈물이 자기 자신에게 흘...""엄마의 말이 칼처럼 심장을 찌르네요""콘돔 보급이 시급하다.. 딸이 죽었는데 그 와중에 또 임신한거 충격이다.. 신이 하나를 데려가면 다른 하나를 주신다는 말은 정신병인가..낳기만 하고 기르지 않는 어른들을 향한 한 소년의 외침태어나고 싶어서 태어나는 아이는 없다. 모든 아이들은 부모의 욕심이다관람객 내 고통이 초라한 이유 ..신파 억지 감동과는 비교가 안된다"
디지몬 어드벤처 라스트 에볼루션 : 인연,트라이때는 진짜 아무 감정도 없이 그저 심각하기만 하고 노잼으로 봤었는데 이번 극장판은 진짜 눈물 펑펑 흘리게 되었습니다.. 마치 영화사는 본 극장판을 통해서 20년간을 디지몬의 정보를 주고받으며 그 추억에 계속해서...영화보고 처음 펑펑 울었다 내 어린 시절과 헤어졌다여러 디지몬 시리즈들이 있는데 단연코 어드벤쳐만한 애니는 없었다우리들은 모두 어른이 되었다스포일러가 포함된 감상평입니다. 감상평 보기진짜 디지몬 어드벤처 마지막 장식을 넘 잘 해줬다고 생각함 ㅠㅠㅠㅠ너무 아쉽지만 아쉽지 않은 엔딩이였음 ㅠㅠㅠㅠ전체적으로 스토리 잘 잡아줌스포일러가 포함된 감상평입니다. 감상평 보기역시...이래야 디지몬입니다감동도 있고 향수도 자극하게하는 ..초딩때보던 디지몬생각나게하네요.. 서른다되어가는데 참 ㅋㅋㅋㅋ 잘 만들었네요.트라이 말고 키즈나가 6부작이었어야...나에게도 언젠가는 있었던 내 파트너를 생각하며 눈물을 머금고 본 극장판.
원더,"""힘겨운 싸움을 하는 모든 이들에게 친절하라.""아이가 태어 난다면 잭윌 같은 아이로 키우고 싶습니다.옳음과 친절함 중에 하나를 택해야 한다면 친절을 택하라슬퍼서가 아니라 감동적이라 눈물을 흘려본 건 또 처음이다! 최고다!!관람객 진짜 별 기대 없이 본 영화인데 영화가 끝나고 말할 수 없는 감동 받았습니다. 이런 좋은 영화 볼 수 있게 해주신 분들께 감사드립니다. 힘든 고난과 역경을 딛고 꿋꿋하게, 그로인해 많은 사람들에게 영감과 힘을 줄 수...보는 내내 입가엔 미소가, 눈에선 눈물이.. 누구나 한번쯤은 박수받을 자격이 있다는 말에 큰 울림을 느꼈어요 여러모로 참 좋은 이야기. 그저 바라봐주면 돼너무너무 따듯한 영화. ""어기가 외모를 바꾸는건 불가능해. 그러니까 우리가 시선을 바꿔야지."" 나였다면 어기의 부모님처럼 할 수 있을까. 잭 윌과 써머처럼 편견을 낮추고 다가갈 수 있을까. 비아처럼 동...신과함께볼 시간에 원더를 두번볼걸 그랬다개봉전에 극장에서 상영하고 있어 봤는데 정말 꼭 보셔야 할 영화입니다.개봉전 CGV핫딜로 먼저 관람했습니다. 플립과 비슷한 감성을 지닌 영화. 여러 인물의 시각에서 보여주는 스토리의 흐름이 훌륭했습니다. 배우들의 연기는 말할것도 없었으며 시간가는줄 모르고 봤습니다. 알차게 채워놓은 영..."
베일리 어게인,진짜 별점 처음남겨본다... 마음이 너무 따듯해지고 눈물이 계속 나왔다 ㅠㅠ 여기나오는 강아지들 모두다 연기 잘하고 사랑스럽고 베일리 여운이 너무 남아요.. ㅠㅠ 꼭보세요 정말 이런말 진짜 잘 안하는데 강추해요....펑펑울었네요ㅠㅠ 다시태어나도 또 다시 나의 반려견이 되어주길..다시 태어나도 나한테 와주면 좋겠다관람객 영화보는도중에 왜이렇게 눈물이났는지 모르겠어요 ㅠ강아지를 키우는 반려인으로써 공감이너무갔어요 ..뻔한스토리라고 느끼는사람들도있겠지만 강아지를 키우는사람들은 엄청공감하면서 볼수잇을것같아요 롯데시네마 독점으로 개봉한건 ...cgv 개봉 왜 안해요?관람객 어릴적에 잘 못해주고 떠나보낸 강아지가 생각나는 영화.빨리 집에가서 강아지 꼭 안아주고 싶어요ㅜㅜ개 분양을 쉽게 결정하지 마세요성난황소 불이고 이 영화개봉관좀 늘려라세상에 반려견처럼 날 아무조건없이 사랑해주는 존재가 또 있을까 생각이드는 정말 아름다운 영화입니다ㅠㅠ
아일라,"터키는 우리의 형제국가예요.. 좀 고마워하고 기억합시다관람객 영화 보고나서 아무리 재미있어도 귀찮아서 평점 안 남기는데 이건 진짜 써야겠음 진짜 감동이에요 보면 절대 후회하지 않을 영화인듯 합니다...계속 울었어요 진짜 올 상반기동안 본 영화중에 최고라고 생각합니다. 실화라 ...실화임에 감정이입 되서 그런지 엄청울었음..김설 너무 이뻐~~너무 감동적이에요. 두분이 만나서 얼마나 다행인지 몰라요. 슐레이만씨는 눈을 감으셨지만 그 여운은 너무나 오래가네요 mbc스페셜도 꼭 보겠습니다.ㅠㅠㅠㅠ 이거 진짜 강추 저 알바아니구요 첫 개봉날 갔는데 영화관에 동생이랑 단둘이 봤는데 오열하면서 울었어요 이영화는 알려져야함 ㅜㅜ 평론가 점수는 왜 저따구인지 이해는 안가지만 버닝 이런 쓰레기 보단 100배 나...우리가 이렇게 누리고 사는건 수많은 참전국이 있어서 였습니다... 감사합니다..관람객 이 땅의 또 다른 아일라를 지켜주셨을 모든분께 감사드립니다.관람객 방금 어머니랑 보고 왔어요. 개봉 전부터 기대 많이 했습니다ㅠㅠ 재미도 있고 감동적인 부분도 많았고... 실화라는 것이 참 안타깝고 아름다워요... 좋은 영화 너무 잘 봤습니다한국전쟁을 터키입장에서 바라본...배우들의 연기도 쏙 빠져들게 만들고 마지막에 실제 사진이랑 배우들이랑 거의 똑 같았다능.. 암튼 터키 고마운 나라!우리나라 국위선양 제대로 해준 영화. 터키가 전쟁당시 한국을 도와주었던 것에 대한 자부심과 한국이 은혜를 갚은 것에 대한 고마움, 현대 자동차와 서울 도심을 부각 시켜주며 한국인들이 자부심을 느낄 수 있도록 감독이 ..."
"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비","팬미 최고의무비 그대고맙소. 스크린X 10만관객달성 축하합니다. 생생한 화면과 음향에 매료된 힐링타임이었습니다. 트바로티여 영원하라이런시기에 이렇게 공연을 극장에서, 그것도 스크린x 로 관람할 수 있는 멋진 공연을 만들어주신 우리 별님 그리고 수많은 힘을써주신 모든 스태프분들 께 감사드리며 이런 감동을 줄영화를 보여주신 우리 가족분들께 감사드린...진짜 현장에 있었던 거 같은 엄청난 감동을 받았어요! 저보다 부모님이 더 좋아해주셔서 너무나 행복한 관람이었습니다 ^ㅁ^스크린인으로 팬미팅현장을 보는데.실제 현장미팅에 참여 한거 같은 느낌이 였습니다.박수칠때 나도 모르게 박수치고 김호중 가수님눈물흘릴때 함께 눈시울이 뜨거웠습니다.잘봤습니다.이웃에게도 추천하고 싶습니다엄마와 함께 보고왔어요. 추석에 또 보러 갈거같지만..ㅎㅎ 전 팬이 아니었는데 넓은 스크린엑스 화면으로 보니깐 뭔가 더 웅장하고 엄마 더 갬동드시구.ㅠㅎㅎ 좋아하시니 저도 좋았어여..ㅎㅎ완전 감동그자체.김호중팬인 친구따라 보고왔는데집에와서 김호중 노래 찾아서 들어봤어요..감상평도 안쓰는데 어제감동이 오늘도 이어져서 쓰고있는 나를 보니 김호중팬이 될것 같네요스크린X 로 봐서 그런지 감동 그자체 최고 였어요!!!너무 감동적입니다. 음악을 향한 열정 사랑합니다. 김호중정말 한시간 반 정도의 시간동안 김호중 가수와 함께 울고 웃을수있는 시간이었습니다.김호중가수의 팬이 아니더라도 한국가요를 좋아하시는 분들은 천상의 목소리로 들려주는 현장감 있는 노래에 흠뻑 빠지실거 같아요"
먼 훗날 우리,여자에게 있어 가장 아쉬운것은 가장 아름다운 나이에 기다리지 못할 남자를 만난것이고남자에게 있어 가장 아쉬운것은가장 능력없고 초라할때 평생을 지켜주고 싶은 여자를 만난것이 아닐까아무생각 없이 봤다가 아무 생각없이 잠들수 없는밤을 보냈다.살면서 가장 못나고 초라할 때 좋은 사람을 만나는 것도 참 슬픈 일이구나 주동우라는 배우는 묘한 매력이 있네'샤오샤오도 왔구나'지나간 시절은 아무리 그립다고 해도 돌아오지 않는다. 하지만 그 때는 결코 알 수 없다. 먼 훗날의 우리가 서로를 그토록 그리워할줄.여운빵빵 엔딩크레딧 끝까지 보삼너가 나에게 추천했던 영화.왜 난 이 영화를 헤어지고 나서야 보게 된걸까.난 이영화를 평생 잊지 못할듯하다.영화를 보는 내내 펑펑 울며 너를 떠올렸다.그때 그러지 않았다면 우린 달라졌을까?마음이 뻐근하게 저리는 영화.미루고 미루다가 봤는데 좀 더 아껴뒀어야 했다고 생각할만큼 좋았던 영화.보고싶다 잘살아
당갈,"관람객 기타가 남자한테 질 때, 여자라서 약하구나 하는게 아니라 힘이 약하니까 단백질을 먹여야지. 하는 장면이 나올 때 많은 것을 느꼈다가상의 히어로가 아니라, 진짜 인도의 영웅 이야기. 영화 런타임 긴데 지루하지 않고 재밌습니다10점밖에 줄 수 없는 게 안타깝다. 히어로물의 홍수 속에서 진짜 히어로가 나오는 영화.관람객 혼자 와서 보길 잘했다. 자꾸 눈물이 흘렀다. 영화다운 영화를 봤다. 상영시간이 꽤 긴데도 끝나는 게 아쉽고 이들의 이야기를 더 보고 싶었다. 잘 만든 영화인데 상영 시간대가 별로 없는 게 아쉽다. 세얼간이 아미르칸...부성애 영화가 아니다. 여성의 인권에 관한 영화다.시간 가는줄 모르고 봤어요~경기장면은 실제인줄 알았다는...웃다 울다 재밌게 봤어요~노래는 정말 중독성이 강한듯 ㅋㅋㅋㅋ 근데 진짜 인도영화를 내가 이렇게 재밌게 볼줄이야.. 진짜 최고!인도 영화 처음인데요.. 이 영화는 꼭 봐야해요.. 꼭 보세요.. 2시간 41분이 짧게만 느껴졌네요.개인적으로 인도영화 별루 안좋아 하지만 이건 정말 시간 가는지도 모를게 봤다 감동과 인도도 우리처럼 스포츠 부패가 심하구나..그건 그렇고 이영화 상당히 괜찮네아부지 인도 국가 듣는 부분에서 괜히 내가 울컥함"
