영화명,평점리뷰
철가방 우수氏,"별로 재미없습니다 솔직히근데 베게가 축축해질만큼 많이 울었습니다실화인지 몰랐네요ㅠ이런 영화가 1000만면 좋을텐데..^^; 최수종씨 무료로 출연하셨다고 들었어요. 나눔에 감동이 듬북~~!!! ^^이런 사람들, 영화들 덕분에 제가, 우리가 더욱 성숙해지고 발전해 갑니다.실화라서 더 감동적이네요ㅠㅠ이분 우리동네 오래살았으면 다 한번씩 길에서 봣을텐데..1년 전쯤인가 .. 사고현장에 있엇음.. ㅜ우연히 독서실에서 공부하다 잠깐내려왓는데.. 이걸 영화로 만들엇구나.. 故김우수님 천국 가셔서 행복하게사세요.대수롭지않게 킬링타임용으로 볼라했습니다 하지만 큰 감동과 교훈을 받아가서 영화보고 큰 감사함을 느끼는 것은 오랜만인 것 같네요~평론가들 진짜 ㅋㅋㅋ그렇게 점수 낮게 주면 있어보이지?최수종 이미지만큼 착한 영화다잘만든 영화는 아닙니다..하지만 정말 좋은 영화였습니다와~~ ㅠ.ㅠ 정말 ................."
챔프,차태현이 연기폭이 상당한 배우라는거 이영화를 통해서 알았다. 누가 그를 코믹전문이라고 했나 말과 교감을 정말 어떻이가 안울수있을까 영화 후반부터 보았지만 글쓰면서도 흐르는 눈물을 멈출수가 없다.초반에는 웃으면서 봤지만 후반에 가면서 울면서 봤던 영화. 너무 감동적입니다. 특히 우박이와의 교감이 정말 감동적..마지막에 실제경기장면에서 기적처럼 우승하는 장면을 보게되서 감동이 더욱 오는것 같다..지금너무울것같아요 경주마를우습게생각한나를벌주시오. .....너무 감동적이고 말과 유정양 그리고 모든 연기자들의 연기도 인상깊었습니다.차태현 연기 짱이었고 너무 슬펐다넘 재미있게 봤다와진짜10점으로점수가안매겨진다.100점이라고해도과언이아니다진짜보는내내울었다마지막에우박이가승호일으켜줄려고목줄줄때완전슬퍼서소리내면서울었다정말감동적인영화다지금2번째보고나서평점을남기는건데제일슬픔영화를뽑자면소원이랑챔프인거같다...우박이로 열연한 주인공말의 이름은 언급이 없네요? 말이 젤 고생한거 같은데...하선누나짱!!소소한 코믹과 감동적이네요ㅋ배경음악이 짱!!!
머니볼,그 흔한 포장이나 기교없는 유기농 스포츠영화땀내나는 스포츠 영화가 아닌 사람냄새나는 스포츠 소재 영화. 담담하고 잔잔하지만 그게 영화의 매력으로 볼 수 있겠다지금까지 본 최고의 야구 영화. 훌륭한 각본과 브래드 피트의 중압감있는 연기. 브래드 피트: 그는 최고였다.흔한 감동쥐어짜는 스포츠영화가 아니다 야구하는장면은 거의안나오고 말만 그것도 야구에대한 전문적인말과 대사만 나오는데도 너무도 재미있다 각본의 힘 아론소킨의 능력에 감탄한작품딱히 야구에 관심이 없는사람에게도 매력 그 자체지루하다고 생각했는데 전혀지루하지않다 어느세 시간도금방가고 너무도 잔잔하면서 무언가 느껴지는 그런영화였다 특히 딸아이의 노래가 머릿속에서 멤돈다 ... 그냥 쇼를 즐기자 ...스포츠의 탈을 쓴 인생 영화.사실적이라서 더 재밌게 봤다. 감동 쥐어짜고 그런게 없어서 더 재밌었던듯브래드피트 연기는 언제봐도 최고이런 소스로 이런 맛을 낼수 있다니 놀랍다.
뽀로로 극장판 공룡섬 대모험,자네가 어린이들의 대통령인가?조카 데리고 갔다가 내가 더 빠져서 봄ㅋㅋㅋㅋ 뽀통령 장기집권 가능할듯..ㅋㅋㅋㅋ애들보다 내가 더 재밌게 봤네....어린이들 방학이라 그래요일단 10점 박고 시작하자3선에 성공하신 뽀통령님. 4선도 무난 하실듯.뽀로로는 언제나 정답 이다^^역시 뽀통령... 뽀통령의 위엄은 여전히 대단하군요!!!진짜 정말 재밌어요 !!!미친...조용하던 우리딸래미 난리났다...
노무현입니다,"고인이 된 노무현을 비하하고 희화화하는 일베 악마새끼들아. 너희 부모부터 니 자식들 인생까지 반드시 큰 해가 올것이다. 천벌받을 놈들.지금이 노무현의 시대입니다.고맙고...미안하고....그리고 그립습니다.영화 잘봤습니다 이런 영화를 만들어 주셔서 감사합니다때론 바보가 천재보다 좋을 수 있다노무현 ""우리 아이들에게 결코 불의와 타협하지 않아도 성공할 수 있다는 하나의 증거를 꼭 남기고 싶었습니다. ""관람객 영화를 보면 명량이 생각난다. 이순신의 이야기지만 이순신과 함께했던 병사들과 민초들이 또 다른 주인공인 영화.바람을 거스르며 나는 큰 새처럼 주류, 기득권을 향해 불의에 맞서고 정의를 외치는 그의 모습이 그립다.무엇...노무현 대통령 당신이 그립습니다.민주주의여 일어서라 !덕분에 모두가 일어서고 있습니다 !관람객 인터뷰이 모두 담담하게 말씀하시는 와중에도 눈물을 꾹꾹 삼키고 있는게 느껴졌습니다. 그 분을 몰랐던 분들께도,그 분을 나중에 알게 된 분들께도,그 분을 이미 알고 있는 모든 사람들에게도 추천하고 싶은 영화였어요. 영..."
캡틴 아메리카: 윈터 솔져,루소 형제 보고 오락영화 만들랬더니 걸작을 만들어놨다.색다른 히어로물. 퍼스트 어벤저의 루즈함은 걱정하지 않으셔도 될듯관람객 역시 진짜 재밌네ㅋㅋㅋ아이언맨3보다 재밌음 대박그냥 제 평점만 보고 믿고 보셔도 됩니다.다꺼져 난 마블의 노예다관람객 1편보다 더 재밌게 봤습니다. 스포는 하지않겠습니다. 그냥 두번보십쇼.방금 보고왔는데 아이언맨은 저리가라 진짜 쩔었다관람객 아무리바빠도 쿠키영상은 보시기바랍니다 꼭..이거 1점주는애들은 생각이 있는거예요 없는거예요?
로렌스 애니웨이,"난 네가 남자이든 여자이든 외계인이든 사랑한다는 말은 함부로 할 수 있는게 아니다지독한 사랑. 식당에서 분노하고 오열하던 프레드의 연기는 압권이었다. 결국, 눈물이 났다. 우리는 타인에 대해 함부로 평가하고 재단할 수 없는 것 아닐까. 퀴어 드라마를 품고 보편의 연애를 말하다. 사랑의 근원을 파...그 사람을 사랑하는 걸까 그 사람에 덧입힌 내 희망사항을 사랑하는 걸까관람객 사랑하는 사람에게 나와 같은 삶을 살아달라고 말할수는 없다.로렌스가 첫째날에 여장을하고 교단에 섰을때 정적속에서 아무렇지 않게 자연스레 질문을 던지는 학생..이상할거 없고 평상시처럼.. 그리고 미소짓는 로렌스... 와 순간 뭔지모를 감정 눈물 핑 돌든데....관람객 이 사랑을 보라! 로렌스의 성이 무엇이든 로렌스는 로렌스다사람을 온전히 사랑하는것. 그런 사랑을 해본적이 있는가?보는내내 소름이 쫙 돋는다.. 역시 자비에돌란은 날 실망시키지않았어..진짜 대박입니다!! 영상도 이쁘고 오에스티도 넘 좋아요!! 또 볼꺼예유마지막 5분에 만점준다관람객 색감과 표현 기법 최고! 남자주인공이 처음 자신이 원하는 모습을 하고 교실에 들어갔을 때의 그의 감정을 정말 너무도 절실히 느낄 수가 있었습니다. 또, 마지막 장면 남자는 결국 당당하게 앞문으로 걸어나오고 여자는 뒷...폭포처럼 쏙아지는 감정. 그것을 오직 인간만이 경험할 수 있다고 하면 말야. 니가 무엇이든, 어떤 삶을 살든, 너와 내가 사람으로 태어났다는 사실이 얼마나 다행이야."
진링의 13소녀,"밑의 기자 평론가새끼들 밥은 먹고 다니냐? ㅉㅉ일본은 발정난 원숭이에 불과하다..이 영화를 생명가치 계산법으로 보다니 헐진짜 평가론 쓰레기 인 듯 그냥 지 재미 있으면 높게 재미 없으면 낮게 하는 듯일본 대륙 침략의 잔인성을 적나라하게 표현한 영화.봐야할 만한 전쟁영화!!평점을 안 줄 수 없는 영화. 왜 이런 영화가 씨지뷔나 메박에선 상영하지 않는 것인가. 널리 알리고 많이 보러갔으면 좋겠다. 146분이라는 러닝타임이 결코 지루하지 않다.중국도 이런 영화가 있구나. 하세가와도 지식인은 아니여. 아이들의 연기가 눈부시다. 중후반에 감동만드는 루즈한 부분이 있음.희생에 가치를 논하지 말고, 계산을 더하지 말라.개봉전 평점이 왜 낮은걸까요? 이번해 나온 영화중에 제일 최고라고 확실히 말할 수 있어요. 평론가의 말은 무시하세요.이영화는 생명가치의 비교로 볼 영화가 아닙니다."
눈의 여왕4,관람객 영상미가 좋아서 아이들이 지루해하지 않게 보았어요 꿀잼관람객 너무 재미있고 화려한 영상미에 홀딱 반했어요!!생각보다 볼만합니다.관람객 감동적인 스토리에 어른이도 마음 뭉클해져 돌아갑니다ㅠㅠ관람객 조카와 즐긴 크리스마스 최고의 선물!!관람객 기대안했는데 너무 재밌게 보았습니다! 캐릭터 너무 잘만들었고 영상미 장난아니네요 어른이 보기에도 충분히 감동적이고 좋은 영화인 것 같아요 !관람객 감동적이고 유익한 스토리 ㅠ꿀잼이에요 눈의여왕4벌써 4편이나 나오고.. 어쩌다 2편 빼고 다 봤는데 매력있는 시리즈 입니다. ㅋㅋㅋ 딱 요시즌에 보기 좋은~관람객 조카들이 보고싶다고 난리쳐서 따라 들어갔는데 같이 신나게 보고 나옴ㅋㅋㅋㅋ크리스마스에 아이들과잼있게봤어요~^^
헤드윅,"존 카메론 밋첼 감독이 처음부터 끝까지 다 해먹는 영화. 그 천재성에 박수를 보내고 싶다.사람을 쫓고, 사랑을 쫓다가 결국 나를 찾는 이야기.겉만보면 거부감이나 난해할수있다 그러나 속을보면 너무멋진영화이질적으로 느껴졌던 초반의 분위기를 모두 잊고 결국 헤드윅에 투영해 자신의 상처를 돌아보게 하는 영화. 내면의 꿰메고 곪은 상처를 표현하는 것 뿐 만 아니라 그걸 폭팔시키고 해소시키는 모습이 아름답게 담겨있다 ...존 카메론 밋첼, 대체 불가능한.이영화를본 모두를 끌어안아주고싶다이것은 게이가 아닌 인간의 존엄성에 대한 이야기.이질감 느껴지는 헤드윅 모습에 편견으로 경계하다가.. 이야기가 시작되면 동정하다가.. 이내 내가 위로 받게되었다...그냥대박bb..미치도록 감동적인 영화.. 뮤지컬 영화로서 이렇게 깊은 성취를 이룬 영화가 있었을까? 한번 보라! 누구도 부정할 수 없을테니까.."
