,순위,영화명,매출액,관객수,스크린수,감독,등급,관람객평점,네티즌평점,장르,국적,개봉일,추천,10대 비율,20대 비율,30대 비율,40대 비율,50대 비율,남성 만족도,여성 만족도,Na
1595,17307.0,레드 드래곤,0,0,0,브렛 래트너,청소년 관람불가,관람객 평점 없음,8.51,범죄 미스터리 스릴러,미국, 20021106 개봉,"이 영화는 20대 남성이 좋아하는 스토리, 연기가 뛰어난 영화입니다.",x,x,x,x,x,8.44,8.73,
1596,17315.0,레지던트 이블,0,0,0,폴 앤더슨,청소년 관람불가,관람객 평점 없음,8.68, 스릴러 모험 액션 공포,독일 미국 영국, 20020613 개봉,이 영화는 20대 남성이 좋아하는 연출이 뛰어난 영화입니다.,x,x,x,x,x,8.59,9.00,
1597,17318.0,로드 투 퍼디션,0,0,0,샘 멘데스,15세 관람가,관람객 평점 없음,8.28,모험 범죄 드라마 스릴러,미국, 20020913 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.21,8.77,
1598,17328.0,루키,0,0,0,존 리 행콕,전체 관람가,관람객 평점 없음,8.99,드라마,미국, 20020927 개봉,이 영화는 20대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,9.03,8.85,
1599,17331.0,리멤버 타이탄,0,0,0,보아즈 야킨,12세 관람가,관람객 평점 없음,9.24,가족 드라마,미국, 20010414 개봉,이 영화는 20대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,9.17,9.48,
1600,17337.0,리플리,0,0,0,안소니 밍겔라,청소년 관람불가,관람객 평점 없음,8.72,범죄 스릴러,미국, 20000304 개봉,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.42,9.09,
1601,17349.0,마이너리티 리포트,0,0,0,스티븐 스필버그,15세 관람가,관람객 평점 없음,9.24, 드라마 미스터리 범죄 액션,미국, 20020726 개봉,이 영화는 20대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,9.15,9.50,
1602,17356.0,말레나,0,0,0,쥬세페 토르나토레,청소년 관람불가,관람객 평점 없음,9.03,드라마 멜로로맨스 전쟁,미국 이탈리아, 20010310 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.93,9.21,
1603,17357.0,매그놀리아,0,0,0,폴 토마스 앤더슨,청소년 관람불가,관람객 평점 9.00점,8.33,드라마,미국, 20000415 개봉,이 영화는 20대 남성이 좋아하는 연출이 뛰어난 영화입니다.,0%,72%,28%,0%,0%,8.21,8.69,
1604,17359.0,맨 오브 오너,0,0,0,조지 틸만 주니어,12세 관람가,관람객 평점 없음,9.22,드라마,미국, 20010210 개봉,이 영화는 20대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,9.22,9.30,
1605,17364.0,메멘토,0,0,0,크리스토퍼 놀란,15세 관람가,관람객 평점 9.05점,8.81,범죄 스릴러 미스터리,미국,20200819 재개봉 20141120 재개봉  20010825 개봉,이 영화는 20대 남성이 좋아하는 연출이 뛰어난 영화입니다.,9%,63%,16%,6%,6%,8.74,8.96,
1606,17379.0,무사,0,0,0,김성수,15세 관람가,관람객 평점 없음,8.85,드라마 액션,한국, 20010907 개봉,이 영화는 20대 남성이 좋아하는 연출이 뛰어난 영화입니다.,x,x,x,x,x,8.86,8.78,
1607,17393.0,미션,0,0,0,롤랑 조페,12세 관람가,관람객 평점 9.11점,8.95,드라마,영국,20191128 재개봉 20170406 재개봉 20080620 재개봉  19861224 개봉,이 영화는 20대 남성이 좋아하는 OST가 뛰어난 영화입니다.,0%,28%,22%,33%,17%,8.88,9.23,
1608,17407.0,바닐라 스카이,0,0,0,카메론 크로우,청소년 관람불가,관람객 평점 없음,8.86,미스터리 스릴러  멜로로맨스 드라마,미국, 20011221 개봉,이 영화는 20대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,8.98,8.61,
1609,17409.0,바람계곡의 나우시카,0,0,0,"미야자키 하야오, 코마츠바라 카즈오",전체 관람가,관람객 평점 8.00점,9.3,애니메이션 ,일본, 20001230 개봉,이 영화는 10대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,0%,100%,0%,0%,0%,9.23,9.48,
1610,17413.0,바스켓볼 다이어리,0,0,0,스콧 칼벳,청소년 관람불가,관람객 평점 없음,8.84,드라마,미국, 20000429 개봉,이 영화는 20대 여성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.57,9.11,
1611,17416.0,바이센테니얼 맨,0,0,0,크리스 콜럼버스,전체 관람가,관람객 평점 없음,9.31, 드라마,미국, 20000129 개봉,이 영화는 10대 남성이 좋아하는 스토리가 뛰어난 영화입니다.,x,x,x,x,x,9.31,9.36,
1612,17418.0,박하사탕,0,0,0,이창동,청소년 관람불가,관람객 평점 9.55점,9.02,드라마,한국,20180426 재개봉  20000101 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,0%,36%,45%,18%,0%,9.03,8.94,
1613,17420.0,반칙왕,0,0,0,김지운,12세 관람가,관람객 평점 없음,8.37,코미디 드라마,한국, 20000204 개봉,이 영화는 20대 남성이 좋아하는 연기가 뛰어난 영화입니다.,x,x,x,x,x,8.42,8.07,
