순위,영화명,개봉일,매출액,관객수,스크린수,국적,배급사
1.0,명량,2014-07-30,135748398910.0,17613682.0,1587.0,한국,(주)씨제이이엔엠
2.0,극한직업,2019-01-23,139647979516.0,16264944.0,1978.0,한국,(주)씨제이이엔엠
3.0,신과함께-죄와 벌,2017-12-20,115698654137.0,14410754.0,1912.0,한국,롯데쇼핑㈜롯데엔터테인먼트
4.0,국제시장,2014-12-17,110913469630.0,14257115.0,966.0,한국,(주)씨제이이엔엠
5.0,어벤져스: 엔드게임,2019-04-24,122182694160.0,13934592.0,2835.0,미국,월트디즈니컴퍼니코리아 유한책임회사
6.0,겨울왕국 2,2019-11-21,114810421450.0,13747792.0,2648.0,미국,월트디즈니컴퍼니코리아 유한책임회사
7.0,아바타,2009-12-17,128447097523.0,13624328.0,912.0,미국,"주식회사 해리슨앤컴퍼니,이십세기폭스코리아(주)"
8.0,베테랑,2015-08-05,105168155250.0,13414009.0,1064.0,한국,(주)씨제이이엔엠
9.0,괴물,2006-07-27,0.0,13019740.0,167.0,한국,(주)쇼박스
10.0,도둑들,2012-07-25,93665568500.0,12983330.0,1072.0,"한국,홍콩",(주)쇼박스
11.0,7번방의 선물,2013-01-23,91431914670.0,12811206.0,787.0,한국,(주)넥스트엔터테인먼트월드(NEW)
12.0,암살,2015-07-22,98463132781.0,12705700.0,1519.0,한국,(주)쇼박스
13.0,알라딘,2019-05-23,106983620359.0,12555894.0,1311.0,미국,월트디즈니컴퍼니코리아 유한책임회사
14.0,"광해, 왕이 된 남자",2012-09-13,88900208769.0,12319542.0,810.0,한국,(주)씨제이이엔엠
15.0,왕의 남자,2005-12-29,0.0,12302831.0,94.0,한국,(주)시네마서비스
16.0,신과함께-인과 연,2018-08-01,102666146909.0,12274996.0,2235.0,한국,롯데컬처웍스(주)롯데엔터테인먼트
17.0,택시운전사,2017-08-02,95855737149.0,12186684.0,1906.0,한국,(주)쇼박스
18.0,태극기 휘날리며,2004-02-05,0.0,11746135.0,110.0,한국,"(주)다자인소프트,(주)쇼박스"
19.0,부산행,2016-07-20,93178283048.0,11565479.0,1788.0,한국,(주)넥스트엔터테인먼트월드(NEW)
20.0,해운대,2009-07-22,81934638201.0,11453338.0,753.0,한국,CJ ENM
21.0,변호인,2013-12-18,82871759300.0,11374610.0,923.0,한국,(주)넥스트엔터테인먼트월드(NEW)
22.0,어벤져스: 인피니티 워,2018-04-25,99919006769.0,11211880.0,2553.0,미국,월트디즈니컴퍼니코리아 유한책임회사
23.0,실미도,2003-12-24,0.0,11081000.0,83.0,한국,(주)시네마서비스
24.0,어벤져스: 에이지 오브 울트론,2015-04-23,88582586366.0,10494499.0,1843.0,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
25.0,기생충,2019-05-30,87459829095.0,10313086.0,1948.0,한국,(주)씨제이이엔엠
26.0,겨울왕국,2014-01-16,82461504400.0,10296101.0,1010.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
27.0,인터스텔라,2014-11-06,82291089200.0,10275484.0,1342.0,"미국,영국",워너브러더스 코리아(주)
28.0,보헤미안 랩소디,2018-10-31,86280975785.0,9948386.0,936.0,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
29.0,검사외전,2016-02-03,77319445264.0,9707158.0,1812.0,한국,(주)쇼박스
30.0,엑시트,2019-07-31,79232212162.0,9426051.0,1660.0,한국,(주)씨제이이엔엠
31.0,설국열차,2013-08-01,67010077500.0,9349991.0,1128.0,"한국,체코",(주)씨제이이엔엠
32.0,관상,2013-09-11,66005451500.0,9134586.0,1190.0,한국,(주)쇼박스
33.0,아이언맨 3,2013-04-25,70806191000.0,9001309.0,1381.0,미국,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)
34.0,캡틴 아메리카: 시빌 워,2016-04-27,72672111827.0,8677249.0,1991.0,미국,월트디즈니컴퍼니코리아(주)
35.0,해적: 바다로 간 산적,2014-08-06,66370682706.0,8666046.0,838.0,한국,롯데쇼핑㈜롯데엔터테인먼트
36.0,수상한 그녀,2014-01-22,62696639249.0,8656397.0,692.0,한국,(주)씨제이이엔엠
37.0,국가대표,2009-07-29,60896633308.0,8487894.0,580.0,한국,(주)쇼박스
